source_file,paragraph_id,text,language,length
Parasitic Worms of the Skin in Dogs - Dog Owners - Merck Veterinary Manual.pdf,1,"arms, 616Pm Paras Worms of the Skin Dogs-Dog Overs Marck Veterinary Manual",en,74
Parasitic Worms of the Skin in Dogs - Dog Owners - Merck Veterinary Manual.pdf,2,MANUAL DE A merRcK,hu,18
Parasitic Worms of the Skin in Dogs - Dog Owners - Merck Veterinary Manual.pdf,3,Manual veterinario,ro,18
Parasitic Worms of the Skin in Dogs - Dog Owners - Merck Veterinary Manual.pdf,4,thy VERSION PARA DUENOS DE MASCOTAS Gusanos parasitos de la piel en perros,es,74
Parasitic Worms of the Skin in Dogs - Dog Owners - Merck Veterinary Manual.pdf,5,"Por Thomas RKlel, PhO, Focutod de Melina Veterinorio  Estocén Experiment Agricola de lwisiana, Universidad Estat! de Luisiona",es,125
Parasitic Worms of the Skin in Dogs - Dog Owners - Merck Veterinary Manual.pdf,6,"Revisado en junio de 2018 | Modificado en septiembre de 2024 Un pardsito es cualquier ser vivo que vive dentro, sobre o con otro ser vivo (conocido como hhuésped) y que depende de este para alimentarse y refuglarse. Si bien el pardsito se beneficia de esta relacién, el huésped no y puede resultar perjudicado en el proceso. Algunos parésitos ddependen de un huésped durante toda su vida, mientras que otras solo la hacen durante una parte de su vida. Muchos gusanos son pardsitos que infectan a perros, gatos, caballos y otros animales, Algunos de estos gusanos también pueden infectar a las personas. La siguiente secclén describe os gusanos pardsitos que afectan la pel de las mascotas.",es,689
Parasitic Worms of the Skin in Dogs - Dog Owners - Merck Veterinary Manual.pdf,7,Infeccién por Dracunculus,es,25
Parasitic Worms of the Skin in Dogs - Dog Owners - Merck Veterinary Manual.pdf,8,"Dracunculus insignis es una especie de nematodo que se encuentra principalmente en el tejido conectivo bajo la plel de las patas de su huésped. Se sabe que infecta a mapaches, visones y otros animales, inluides perros, en Norteamérica. Las hembras pueden aleanzar mas de 300 rmilimetros (1 ple) de longltud. Los machos son diminutos en comparacién, alrededor de 20 rmilimetros (0,8 pulgadas) de largo. Estos gusanos pueden producir dleeras cutdneas en sus hhuéspedes. Cuando las diceras entran en contacto con el agua, los gusanos sacan la cabeza por las heridas para depositar sus larvas largas y de cola fina, Las larvas se desarrollan entonces. dentro de otro huésped, la pulga de agua. Los perros también pueden infectarse al beber agua contaminada o comer otro huésped, como una ran.",es,788
Parasitic Worms of the Skin in Dogs - Dog Owners - Merck Veterinary Manual.pdf,9,Los signos de infestaclén por gusanos D. insignis incuyen surcos inflamades y serpenteantes bajo la pel y Ulceras rojas con forma de crater en la superficie dela piel. Estas infecciones son poco,es,194
Parasitic Worms of the Skin in Dogs - Dog Owners - Merck Veterinary Manual.pdf,10,"tpt merchvtmanus con/dog-onnerstkindsrders ot dogtpasscworm-ct tne skinin does vacuo fection, y2207275",nl,102
Parasitic Worms of the Skin in Dogs - Dog Owners - Merck Veterinary Manual.pdf,11,"ams. 616m Parasite Worms of the Skin Dogs -og Ovmers- Merck Veterinary Manual frecuentes, pero se han detectade ocaslonalmente en perros que han estado cerca de pequefios lagos y aguas estancadas poco profundas.",es,211
Parasitic Worms of the Skin in Dogs - Dog Owners - Merck Veterinary Manual.pdf,12,Los veterinarios ratanlainfeccdn extrayendo los pardsitos con culdado y lentitud. Los antparasitarios de ipo miridazol o benzimidazol también pueden ser ites.,es,158
Parasitic Worms of the Skin in Dogs - Dog Owners - Merck Veterinary Manual.pdf,13,"En algunas partes de Africa, Asia y Oriente Medi, el gusano de Guinea (Dracunculus medinenss) 5 un pardsito bien conocido de los humanos que también puede infesta a pertos yatvos animales",es,187
Parasitic Worms of the Skin in Dogs - Dog Owners - Merck Veterinary Manual.pdf,14,Dermatitis pelodérmica,fr,22
Parasitic Worms of the Skin in Dogs - Dog Owners - Merck Veterinary Manual.pdf,15,"La dermatitis por Pelodera es una infestacién cutdnea poco frecuente que causa una infeccién cuténea de corta duracién. Esta afeccién se produce cuando las larvas de un gusano redondo, conocido como Pelodera strongyoides invaden la piel Estas larvas se encuentran ampllamente distribuidas en materia organica en descomposicién (coma hene himedo)y en la superficie 0 cerca de ella del suelo hmedo. Solo ocasionalmente son parésitos. En la mayorla de los casos, los animales se exponen alas larvas par contacto directo con materiales infestados, como ropa de cama hiimeda y sucla, Los animales con piel sana no suelen correr riesgo de infeccin.",es,642
