source_file,paragraph_id,text,language,length
Valoracion-bienestar-perros-gatos.pdf,1,[PROCURADURIA AMBIENTAL,hu,23
Valoracion-bienestar-perros-gatos.pdf,2,VALORACION DEL BIENESTAR ANIMAL EN PERROS Y GATOS,de,49
Valoracion-bienestar-perros-gatos.pdf,3,MANUAL DE CAMPO,en,15
Valoracion-bienestar-perros-gatos.pdf,4,PRESENTACION DE PAOT,tl,20
Valoracion-bienestar-perros-gatos.pdf,5,"Entrelasatribuciones dela ProcuraduriaAmbientaly Gel Ordenaminta Territorial de a Ciudad de Meco (enor) se encuentra lade atender las denuncias ‘glare cumplimiente de ae depasicionesjurgias fen materia “de. proteccin y Bienestar animal Dichas atribuciones han cabrado relevanca con reconocimientootorgado ales animales como sees Sintentes que hizo a Constitucion Politica dela Cludadde éricode2017 yqueloshizo merecedores Ge un trato digno cuya tutela es responsablidad comin del Estado y [a sociedad; asi como por el reciente interés del tema del maltrato. animal tent a poblaién, que se refsa en un importante Incrementa de denuncias cudadanas en la mater",es,657
Valoracion-bienestar-perros-gatos.pdf,6,"Desde su cresciin, Ia paar conduce todas sus actuaciones con ""los mas altos estindares Drofesionales, por lo que de forma recurente apacita 3 as personas cervidoraspablicas que aqui laborames,y emite documentos técricos basados ena informacign el conocimiento centfico mas",es,272
Valoracion-bienestar-perros-gatos.pdf,7,"reciente, siguiendo las recomendaciones de los feapertos en la materia, Este es el c3s0 del Nanuol de compo para la voloracién del bienestar animal fen perros y gates que aqui presentamos, y que fr resultado de [a colaboracgn entre la xot yl Sociedad Menicana de Etolgiay Bienestar Animal (sonesn).",es,298
Valoracion-bienestar-perros-gatos.pdf,8,"Elbienestar animal es un conceptotécico, objetivo ¥ multifactorial que depend fundamentaimente Gel estado fsico y mental de os animales, por Io (que nuestra intencion es poderlo valorar a partie de elementos objtivos. La Guia de bienestar de animales de compara que desarallé Ia Paar en el ao 2014 con el apoyo de la Facultad de Mecicina Veterinaria y Zoctecna de la Universidad Nacional Atinoma de México, cere al piblieo en general informacinrelevante para promover el bienestar e perros y gatos, incluyendo temas sobre su estado fisilégio, su estelizacién, y crteros sobre su ambiente su transportacién.",es,606
Valoracion-bienestar-perros-gatos.pdf,9,"‘Aor, este Manual de campo pone a disposicién Ge Ia pablacién informacién actualzads que, de ‘manera especfica, sustenta la valoracién fsca y Gel comportamienta de perros y gates para conocer Si sufen emeciones que les generen condiciones conductuales negativas como estrés, ansedad, ‘miedo, agresvidad votraalteracionesqueindiquen estado de bienestar en el que se encuentran.",es,376
Valoracion-bienestar-perros-gatos.pdf,10,"‘Setrata también de un manual ténico que potencia y ampli a valracion del estado de bienestar en el {ue se encuentran los peros y gatos, principales animales de compari que son objeto de denuncas de maltrato en Ia Cuda de México. Es decir apoya la obtencién de informacion puntual sobre quelias variables que son identifcadas en las vistas de ‘econocimientos de hechos que realiza el personal Ge maar enelejercici de sus unciones",es,429
